seed,method,harm_to_correction_ratio,n,correction_opportunities,corrections_retained,harm_opportunities,harms_realized,recovery_selection_rate,negative_transfer_prevention,recovery_retention,test_utility_per_10000,calibration_utility_per_10000,test_minus_calibration_utility
105,Prospective gate Lite-CF,5.0,5744,135.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,,
105,All-row multinomial (safety),5.0,5744,135.0,0.0,63.0,0.0,0.001218662952646225,1.0,0.0,0.0,,
105,Always PDRF,5.0,5744,135.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,,
105,Always RO-PDRF-Lite,5.0,5744,135.0,135.0,63.0,63.0,1.0,0.0,1.0,-313.3704735376045,,
105,Conditional Lite-CF,10.0,5744,135.0,16.0,63.0,2.0,0.745125348189415,0.9682539682539683,0.11851851851851852,-6.963788300835654,48.231511254019296,-55.19529955485495
105,All-row multinomial,10.0,5744,135.0,0.0,63.0,0.0,0.001218662952646225,1.0,0.0,0.0,5.359056806002144,-5.359056806002144
105,Two-stage,10.0,5744,135.0,26.0,63.0,2.0,0.14327994428969357,0.9682539682539683,0.1925925925925926,10.445682451253482,37.51339764201501,-27.067715190761525
105,Frozen Lite-CF (ungated),10.0,5744,135.0,15.0,63.0,2.0,0.724408077994429,0.9682539682539683,0.1111111111111111,-8.704735376044567,,
105,Prospective gate Lite-CF,10.0,5744,135.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,,
105,All-row multinomial (safety),10.0,5744,135.0,0.0,63.0,0.0,0.001218662952646225,1.0,0.0,0.0,,
105,Always PDRF,10.0,5744,135.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,,
105,Always RO-PDRF-Lite,10.0,5744,135.0,135.0,63.0,63.0,1.0,0.0,1.0,-861.7688022284123,,
106,Conditional Lite-CF,1.0,5744,102.0,71.0,64.0,21.0,0.9289693593314763,0.671875,0.696078431372549,87.04735376044569,149.81273408239701,-62.765380321951326
106,All-row multinomial,1.0,5744,102.0,47.0,64.0,18.0,0.3725626740947075,0.71875,0.46078431372549017,50.4874651810585,165.8640984483681,-115.37663326730961
106,Two-stage,1.0,5744,102.0,73.0,64.0,25.0,0.9373259052924791,0.609375,0.7156862745098039,83.56545961002786,149.81273408239701,-66.24727447236916
106,Frozen Lite-CF (ungated),1.0,5744,102.0,23.0,64.0,2.0,0.8443593314763231,0.96875,0.22549019607843138,36.559888579387184,,
106,Prospective gate Lite-CF,1.0,5744,102.0,23.0,64.0,2.0,0.8443593314763231,0.96875,0.22549019607843138,36.559888579387184,,
106,All-row multinomial (safety),1.0,5744,102.0,0.0,64.0,0.0,0.001218662952646225,1.0,0.0,0.0,,
106,Always PDRF,1.0,5744,102.0,0.0,64.0,0.0,0.0,1.0,0.0,0.0,,
106,Always RO-PDRF-Lite,1.0,5744,102.0,102.0,64.0,64.0,1.0,0.0,1.0,66.15598885793872,,
106,Conditional Lite-CF,2.0,5744,102.0,37.0,64.0,4.0,0.8643802228412256,0.9375,0.3627450980392157,50.4874651810585,133.7613697164259,-83.2739045353674
106,All-row multinomial,2.0,5744,102.0,47.0,64.0,18.0,0.3725626740947075,0.71875,0.46078431372549017,19.15041782729805,144.46227929373995,-125.31186146644191
106,Two-stage,2.0,5744,102.0,43.0,64.0,6.0,0.1911559888579387,0.90625,0.4215686274509804,53.969359331476326,123.06046013911183,-69.0911008076355
106,Frozen Lite-CF (ungated),2.0,5744,102.0,23.0,64.0,2.0,0.8443593314763231,0.96875,0.22549019607843138,33.07799442896936,,
106,Prospective gate Lite-CF,2.0,5744,102.0,23.0,64.0,2.0,0.8443593314763231,0.96875,0.22549019607843138,33.07799442896936,,
106,All-row multinomial (safety),2.0,5744,102.0,0.0,64.0,0.0,0.001218662952646225,1.0,0.0,0.0,,
106,Always PDRF,2.0,5744,102.0,0.0,64.0,0.0,0.0,1.0,0.0,0.0,,
106,Always RO-PDRF-Lite,2.0,5744,102.0,102.0,64.0,64.0,1.0,0.0,1.0,-45.26462395543175,,
106,Conditional Lite-CF,5.0,5744,102.0,25.0,64.0,3.0,0.8476671309192201,0.953125,0.24509803921568626,17.409470752089135,128.41091492776886,-111.00144417567972
106,All-row multinomial,5.0,5744,102.0,34.0,64.0,8.0,0.17113509749303618,0.875,0.3333333333333333,-10.445682451253482,123.06046013911183,-133.5061425903653
106,Two-stage,5.0,5744,102.0,37.0,64.0,3.0,0.13335654596100274,0.953125,0.3627450980392157,38.3008356545961,101.65864098448368,-63.35780532988758
106,Frozen Lite-CF (ungated),5.0,5744,102.0,23.0,64.0,2.0,0.8443593314763231,0.96875,0.22549019607843138,22.632311977715876,,
106,Prospective gate Lite-CF,5.0,5744,102.0,23.0,64.0,2.0,0.8443593314763231,0.96875,0.22549019607843138,22.632311977715876,,
106,All-row multinomial (safety),5.0,5744,102.0,0.0,64.0,0.0,0.001218662952646225,1.0,0.0,0.0,,
106,Always PDRF,5.0,5744,102.0,0.0,64.0,0.0,0.0,1.0,0.0,0.0,,
106,Always RO-PDRF-Lite,5.0,5744,102.0,102.0,64.0,64.0,1.0,0.0,1.0,-379.52646239554315,,
106,Conditional Lite-CF,10.0,5744,102.0,25.0,64.0,3.0,0.8476671309192201,0.953125,0.24509803921568626,-8.704735376044567,128.41091492776886,-137.11565030381342
106,All-row multinomial,10.0,5744,102.0,34.0,64.0,8.0,0.17113509749303618,0.875,0.3333333333333333,-80.08356545961003,96.30818619582665,-176.39175165543668
106,Two-stage,10.0,5744,102.0,17.0,64.0,0.0,0.057625348189415004,1.0,0.16666666666666666,29.596100278551532,90.9577314071696,-61.36163112861807
106,Frozen Lite-CF (ungated),10.0,5744,102.0,23.0,64.0,2.0,0.8443593314763231,0.96875,0.22549019607843138,5.222841225626741,,
106,Prospective gate Lite-CF,10.0,5744,102.0,23.0,64.0,2.0,0.8443593314763231,0.96875,0.22549019607843138,5.222841225626741,,
106,All-row multinomial (safety),10.0,5744,102.0,0.0,64.0,0.0,0.001218662952646225,1.0,0.0,0.0,,
106,Always PDRF,10.0,5744,102.0,0.0,64.0,0.0,0.0,1.0,0.0,0.0,,
106,Always RO-PDRF-Lite,10.0,5744,102.0,102.0,64.0,64.0,1.0,0.0,1.0,-936.6295264623956,,
