analysis_set,seed,fault_type,prevalence,stream,method,class,n,auroc,auprc,recall
strict,107,drift,0.4,strict_fault_applied_available,Tree-6,4,253,0.7183919759170596,0.2908443291251456,0.07509881422924901
strict,107,drift,0.4,strict_fault_applied_available,Tree-6,5,266,0.8447464815885869,0.7060107205913926,0.5789473684210527
strict,107,drift,0.4,strict_fault_applied_available,Tree-6,6,237,0.8469188458736712,0.4787348582782256,0.9493670886075949
strict,107,drift,0.4,strict_fault_applied_available,Three-outcome-6,1,230,0.8366320571057755,0.5351354418320533,0.5347826086956522
strict,107,drift,0.4,strict_fault_applied_available,Three-outcome-6,2,220,0.8990804425837323,0.768616312334591,0.45
strict,107,drift,0.4,strict_fault_applied_available,Three-outcome-6,3,230,0.8909041747782825,0.8003453203184988,0.4782608695652174
strict,107,drift,0.4,strict_fault_applied_available,Three-outcome-6,4,253,0.7177504769478014,0.29086967354786586,0.07509881422924901
strict,107,drift,0.4,strict_fault_applied_available,Three-outcome-6,5,266,0.8447111368164,0.7058870328013592,0.5789473684210527
strict,107,drift,0.4,strict_fault_applied_available,Three-outcome-6,6,237,0.8468801356967656,0.47871236818692864,0.9493670886075949
strict,107,drift,0.4,strict_fault_applied_available,Cascade-25,1,230,0.8379010743384527,0.5326267001737617,0.5391304347826087
strict,107,drift,0.4,strict_fault_applied_available,Cascade-25,2,220,0.9005420155502392,0.7750864534718857,0.45
strict,107,drift,0.4,strict_fault_applied_available,Cascade-25,3,230,0.8900894080323023,0.8011882045473928,0.49130434782608695
strict,107,drift,0.4,strict_fault_applied_available,Cascade-25,4,253,0.7254618291407589,0.2971008386118497,0.07509881422924901
strict,107,drift,0.4,strict_fault_applied_available,Cascade-25,5,266,0.8448107448107448,0.7058715183795824,0.5827067669172933
strict,107,drift,0.4,strict_fault_applied_available,Cascade-25,6,237,0.8465211867836417,0.47822155527356747,0.9493670886075949
strict,107,drift,0.4,strict_fault_applied_available,Always PDRF,1,230,0.8362426995457496,0.5347010258423622,0.5347826086956522
strict,107,drift,0.4,strict_fault_applied_available,Always PDRF,2,220,0.8990430622009571,0.7685619134468605,0.45
strict,107,drift,0.4,strict_fault_applied_available,Always PDRF,3,230,0.8908897541279113,0.8001643771411591,0.4782608695652174
strict,107,drift,0.4,strict_fault_applied_available,Always PDRF,4,253,0.7183919759170596,0.2908443291251456,0.07509881422924901
strict,107,drift,0.4,strict_fault_applied_available,Always PDRF,5,266,0.8447464815885869,0.7060107205913926,0.5789473684210527
strict,107,drift,0.4,strict_fault_applied_available,Always PDRF,6,237,0.8469188458736712,0.4787348582782256,0.9493670886075949
strict,107,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1,230,0.8292739202538035,0.5957906446679121,0.6304347826086957
