seed,fault_type,method,class,n,auroc,auprc,recall
103,offset,RO-PDRF-Lite,1,230,0.7770747710721753,0.47510801231954836,0.3826086956521739
103,offset,RO-PDRF-Lite,2,220,0.8752317583732057,0.6994680928372782,0.4727272727272727
103,offset,RO-PDRF-Lite,3,230,0.8871079385680295,0.7869295738971435,0.47391304347826085
103,offset,RO-PDRF-Lite,4,253,0.6342019184828549,0.23646323839804084,0.04743083003952569
103,offset,RO-PDRF-Lite,5,266,0.8212373883426517,0.6950898609295052,0.6052631578947368
103,offset,RO-PDRF-Lite,6,237,0.8174568821415877,0.40834290283169516,0.9578059071729957
103,offset,Lite-CF,1,230,0.78424543946932,0.4764687849946472,0.3739130434782609
103,offset,Lite-CF,2,220,0.8767045454545455,0.6945165230135609,0.38636363636363635
103,offset,Lite-CF,3,230,0.8952592111904247,0.8008119859308727,0.40869565217391307
103,offset,Lite-CF,4,253,0.6287424949632308,0.22860359484865625,0.04743083003952569
103,offset,Lite-CF,5,266,0.822387700019279,0.6974372476100074,0.5864661654135338
103,offset,Lite-CF,6,237,0.8146275201204943,0.406359026841682,0.9662447257383966
103,stuck_at,PDRF,1,230,0.8192930276155453,0.5593316828969268,0.4434782608695652
103,stuck_at,PDRF,2,220,0.8537193480861243,0.6823220776904358,0.4090909090909091
103,stuck_at,PDRF,3,230,0.8720527795803592,0.7689115293141732,0.47391304347826085
103,stuck_at,PDRF,4,253,0.6663971480024992,0.2463209534274353,0.06324110671936758
103,stuck_at,PDRF,5,266,0.8238898528372212,0.7031878339961791,0.6052631578947368
103,stuck_at,PDRF,6,237,0.7613851908939587,0.3096672324959321,0.869198312236287
103,stuck_at,RO-PDRF-Lite,1,230,0.8031671353378038,0.552994032177685,0.45217391304347826
103,stuck_at,RO-PDRF-Lite,2,220,0.8698003887559809,0.7090939500526999,0.4863636363636364
103,stuck_at,RO-PDRF-Lite,3,230,0.8828826880092293,0.7841671253473043,0.5043478260869565
103,stuck_at,RO-PDRF-Lite,4,253,0.7010314100615104,0.2699710249920825,0.07905138339920949
103,stuck_at,RO-PDRF-Lite,5,266,0.8262001156737999,0.6998991270591717,0.6127819548872181
103,stuck_at,RO-PDRF-Lite,6,237,0.7716328304529442,0.3256290614358703,0.8270042194092827
103,stuck_at,Lite-CF,1,230,0.8168379118898264,0.5611686313850967,0.4434782608695652
103,stuck_at,Lite-CF,2,220,0.8693406100478469,0.697681788175609,0.4090909090909091
103,stuck_at,Lite-CF,3,230,0.8841336794289422,0.786932788296266,0.47391304347826085
103,stuck_at,Lite-CF,4,253,0.6815792902749425,0.2523025820480642,0.06324110671936758
103,stuck_at,Lite-CF,5,266,0.8270291112396375,0.7006934292210927,0.6052631578947368
103,stuck_at,Lite-CF,6,237,0.7688105066458335,0.3232495956963452,0.869198312236287
