building,seed,method,metric,value
auditorium,103,UF-PD,mean_temperature_group_weight_on_faults,0.40000009536743164
auditorium,103,UF-PD,train_seconds,4.043538899990381
auditorium,103,UF-PD,inference_seconds,0.008493900008033961
auditorium,103,UF-PD,recall_return_air_temperature_fault,0.7541899441340782
auditorium,103,UF-PD,recall_supply_air_temperature_fault,0.9795918367346939
auditorium,103,CAGF,accuracy,0.9847124224930511
auditorium,103,CAGF,macro_f1,0.8254461548218597
auditorium,103,CAGF,macro_auroc,0.9854445174957995
auditorium,103,CAGF,macro_auprc,0.8793941230929743
auditorium,103,CAGF,nll,0.04394981169464926
auditorium,103,CAGF,class_1_precision,0.9901778893375532
auditorium,103,CAGF,class_1_recall,0.9941924172693404
auditorium,103,CAGF,class_1_f1,0.9921810924599486
auditorium,103,CAGF,class_1_auroc,0.9854445174957995
auditorium,103,CAGF,class_1_auprc,0.9996221200310578
auditorium,103,CAGF,class_2_precision,0.7225130890052356
auditorium,103,CAGF,class_2_recall,0.6052631578947368
auditorium,103,CAGF,class_2_f1,0.6587112171837709
auditorium,103,CAGF,class_2_auroc,0.9854445174957995
auditorium,103,CAGF,class_2_auprc,0.7591661261548908
auditorium,103,CAGF,balanced_accuracy,0.7997277875820386
auditorium,103,CAGF,native_sensor_fault_recall,0.6052631578947368
auditorium,103,CAGF,mean_temperature_group_weight_on_faults,0.00036810748861171305
auditorium,103,CAGF,train_seconds,5.52882249999675
auditorium,103,CAGF,inference_seconds,0.008359500003280118
auditorium,103,CAGF,recall_return_air_temperature_fault,0.5195530726256983
auditorium,103,CAGF,recall_supply_air_temperature_fault,0.9183673469387755
auditorium,103,ENT-PD,accuracy,0.9607654479367116
auditorium,103,ENT-PD,macro_f1,0.7480111083291108
auditorium,103,ENT-PD,macro_auroc,0.9811686102171933
auditorium,103,ENT-PD,macro_auprc,0.8193133184137074
auditorium,103,ENT-PD,nll,0.09028631883225309
auditorium,103,ENT-PD,class_1_precision,0.9963731157202765
auditorium,103,ENT-PD,class_1_recall,0.9632916940609249
auditorium,103,ENT-PD,class_1_f1,0.979553178450053
auditorium,103,ENT-PD,class_1_auroc,0.9811686102171934
auditorium,103,ENT-PD,class_1_auprc,0.9995173799414715
auditorium,103,ENT-PD,class_2_precision,0.3691148775894539
auditorium,103,ENT-PD,class_2_recall,0.8596491228070176
auditorium,103,ENT-PD,class_2_f1,0.5164690382081687
auditorium,103,ENT-PD,class_2_auroc,0.9811686102171933
auditorium,103,ENT-PD,class_2_auprc,0.6391092568859431
auditorium,103,ENT-PD,balanced_accuracy,0.9114704084339712
auditorium,103,ENT-PD,native_sensor_fault_recall,0.8596491228070176
auditorium,103,ENT-PD,mean_temperature_group_weight_on_faults,0.3485555052757263
auditorium,103,ENT-PD,train_seconds,4.8099473000038415
auditorium,103,ENT-PD,inference_seconds,0.005463299996335991
auditorium,103,ENT-PD,recall_return_air_temperature_fault,0.8324022346368715
auditorium,103,ENT-PD,recall_supply_air_temperature_fault,0.9591836734693877
auditorium,103,PDRF-NOQ,accuracy,0.9405601881548001
auditorium,103,PDRF-NOQ,macro_f1,0.7068539978666861
auditorium,103,PDRF-NOQ,macro_auroc,0.9868618099049947
auditorium,103,PDRF-NOQ,macro_auprc,0.827162913638654
auditorium,103,PDRF-NOQ,nll,0.13290964910475025
auditorium,103,PDRF-NOQ,class_1_precision,0.9994172494172494
auditorium,103,PDRF-NOQ,class_1_recall,0.9396230550076704
auditorium,103,PDRF-NOQ,class_1_f1,0.9685982152942505
auditorium,103,PDRF-NOQ,class_1_auroc,0.9868618099049947
auditorium,103,PDRF-NOQ,class_1_auprc,0.9996693461974925
auditorium,103,PDRF-NOQ,class_2_precision,0.28811369509043927
auditorium,103,PDRF-NOQ,class_2_recall,0.9780701754385965
auditorium,103,PDRF-NOQ,class_2_f1,0.44510978043912175
auditorium,103,PDRF-NOQ,class_2_auroc,0.9868618099049947
