seed,method,fault,true_class,pred_class,count
101,DWR,offset,2,5,55
101,DWR,offset,2,6,6
101,DWR,offset,3,1,47
101,DWR,offset,3,2,108
101,DWR,offset,3,3,533
101,DWR,offset,3,4,2
101,DWR,offset,3,5,44
101,DWR,offset,3,6,6
101,DWR,offset,4,1,274
101,DWR,offset,4,2,51
101,DWR,offset,4,3,15
101,DWR,offset,4,4,75
101,DWR,offset,4,5,154
101,DWR,offset,4,6,139
101,DWR,offset,5,1,69
101,DWR,offset,5,2,15
101,DWR,offset,5,3,41
101,DWR,offset,5,4,7
101,DWR,offset,5,5,571
101,DWR,offset,5,6,118
101,DWR,offset,6,1,254
101,DWR,offset,6,2,38
101,DWR,offset,6,3,22
101,DWR,offset,6,4,75
101,DWR,offset,6,5,49
101,DWR,offset,6,6,281
101,DWR,linear_drift,1,1,397
101,DWR,linear_drift,1,2,18
101,DWR,linear_drift,1,3,0
101,DWR,linear_drift,1,4,44
101,DWR,linear_drift,1,5,180
101,DWR,linear_drift,1,6,52
101,DWR,linear_drift,2,1,48
101,DWR,linear_drift,2,2,545
101,DWR,linear_drift,2,3,21
101,DWR,linear_drift,2,4,8
101,DWR,linear_drift,2,5,55
101,DWR,linear_drift,2,6,8
101,DWR,linear_drift,3,1,53
101,DWR,linear_drift,3,2,104
101,DWR,linear_drift,3,3,532
101,DWR,linear_drift,3,4,2
101,DWR,linear_drift,3,5,43
101,DWR,linear_drift,3,6,6
101,DWR,linear_drift,4,1,270
101,DWR,linear_drift,4,2,47
101,DWR,linear_drift,4,3,15
101,DWR,linear_drift,4,4,85
101,DWR,linear_drift,4,5,144
101,DWR,linear_drift,4,6,147
101,DWR,linear_drift,5,1,64
101,DWR,linear_drift,5,2,16
101,DWR,linear_drift,5,3,40
101,DWR,linear_drift,5,4,18
101,DWR,linear_drift,5,5,575
101,DWR,linear_drift,5,6,108
101,DWR,linear_drift,6,1,275
101,DWR,linear_drift,6,2,29
101,DWR,linear_drift,6,3,12
101,DWR,linear_drift,6,4,70
101,DWR,linear_drift,6,5,50
101,DWR,linear_drift,6,6,283
101,DWR,stuck_at,1,1,344
101,DWR,stuck_at,1,2,15
101,DWR,stuck_at,1,3,0
101,DWR,stuck_at,1,4,149
101,DWR,stuck_at,1,5,143
101,DWR,stuck_at,1,6,40
101,DWR,stuck_at,2,1,40
101,DWR,stuck_at,2,2,490
101,DWR,stuck_at,2,3,27
101,DWR,stuck_at,2,4,83
101,DWR,stuck_at,2,5,41
101,DWR,stuck_at,2,6,4
101,DWR,stuck_at,3,1,35
101,DWR,stuck_at,3,2,88
101,DWR,stuck_at,3,3,502
101,DWR,stuck_at,3,4,82
101,DWR,stuck_at,3,5,30
101,DWR,stuck_at,3,6,3
101,DWR,stuck_at,4,1,165
101,DWR,stuck_at,4,2,41
101,DWR,stuck_at,4,3,14
101,DWR,stuck_at,4,4,265
101,DWR,stuck_at,4,5,126
101,DWR,stuck_at,4,6,97
101,DWR,stuck_at,5,1,49
101,DWR,stuck_at,5,2,12
101,DWR,stuck_at,5,3,41
101,DWR,stuck_at,5,4,244
101,DWR,stuck_at,5,5,395
101,DWR,stuck_at,5,6,80
101,DWR,stuck_at,6,1,142
101,DWR,stuck_at,6,2,22
101,DWR,stuck_at,6,3,10
101,DWR,stuck_at,6,4,273
101,DWR,stuck_at,6,5,41
101,DWR,stuck_at,6,6,231
101,DWR,clipping,1,1,374
101,DWR,clipping,1,2,22
101,DWR,clipping,1,3,7
101,DWR,clipping,1,4,45
101,DWR,clipping,1,5,201
101,DWR,clipping,1,6,42
101,DWR,clipping,2,1,35
