seed,method,fault_type,subset,metric,value,n,inference_ms_per_observation
101,RO-MER,drift,fault_applied_available,macro_f1,0.5481423121515145,1436,0.001390582039590761
101,RO-MER,drift,fault_applied_available,macro_auroc,0.8279670152970556,1436,0.001390582039590761
101,RO-MER,drift,fault_applied_available,macro_auprc,0.6160388851400825,1436,0.001390582039590761
101,RO-MER,drift,fault_applied_available,nll,1.5253346765328313,1436,0.001390582039590761
101,RO-MER,drift,fault_applied_available,brier,0.626638384556741,1436,0.001390582039590761
101,RO-MER,drift,fault_applied_available,ece15,0.16613923573560369,1436,0.001390582039590761
101,RO-MER,drift,assigned,accuracy,0.5569405099150142,1765,0.001390582039590761
101,RO-MER,drift,assigned,macro_f1,0.5469385203235457,1765,0.001390582039590761
101,RO-MER,drift,assigned,macro_auroc,0.8293392285857953,1765,0.001390582039590761
101,RO-MER,drift,assigned,macro_auprc,0.6137095843900474,1765,0.001390582039590761
101,RO-MER,drift,assigned,nll,1.4991974915035777,1765,0.001390582039590761
101,RO-MER,drift,assigned,brier,0.6247662728145649,1765,0.001390582039590761
101,RO-MER,drift,assigned,ece15,0.16495198082316023,1765,0.001390582039590761
101,RO-MER,drift,unaffected,accuracy,0.5929203539823009,2599,0.001390582039590761
101,RO-MER,drift,unaffected,macro_f1,0.5791168441612529,2599,0.001390582039590761
101,RO-MER,drift,unaffected,macro_auroc,0.8547808660363425,2599,0.001390582039590761
101,RO-MER,drift,unaffected,macro_auprc,0.6327819080326358,2599,0.001390582039590761
101,RO-MER,drift,unaffected,nll,1.3530880664493827,2599,0.001390582039590761
