model,stress_type,level,metric,mean,sd,n,ci95
CFA,sensor_noise,0.5,nll,0.5509443903015229,0.009170800093005044,20,0.0040192803535400515
CFA,sensor_noise,1.0,aurc,0.16294199735449735,0.0066035980137365185,20,0.0028941544347402992
CFA,sensor_noise,1.0,auroc,0.7911822741816609,0.0071631276567402325,20,0.003139379112908068
CFA,sensor_noise,1.0,ece,0.027424353238412486,0.005496788453425014,20,0.0024090737573996767
CFA,sensor_noise,1.0,nll,0.5516724949668939,0.007389733787388091,20,0.0032386936285084427
CFA,sensor_noise,1.5,aurc,0.16624681878306877,0.010333205970231824,20,0.004528727191089225
CFA,sensor_noise,1.5,auroc,0.7880946593609395,0.01092458699023131,20,0.00478791135070834
CFA,sensor_noise,1.5,ece,0.025931228564617537,0.006268448014846219,20,0.002747268471425472
CFA,sensor_noise,1.5,nll,0.5550604718401562,0.011620519530985241,20,0.005092917234608806
CFA,sensor_noise,2.0,aurc,0.1656421693121693,0.00562342790777165,20,0.0024645759453959777
CFA,sensor_noise,2.0,auroc,0.7885700387017305,0.005965283130565217,20,0.002614400602655409
CFA,sensor_noise,2.0,ece,0.02704907498573884,0.005521416747698575,20,0.0024198675832721246
CFA,sensor_noise,2.0,nll,0.5547790107529863,0.006583375933096027,20,0.002885291717136409
CFA,sensor_noise,3.0,aurc,0.16738689814814817,0.007725361463151063,20,0.00338578894294315
CFA,sensor_noise,3.0,auroc,0.7868444843981152,0.008088727766408874,20,0.0035450412468873353
CFA,sensor_noise,3.0,ece,0.02593024434745312,0.005523741630920989,20,0.0024208865082694375
CFA,sensor_noise,3.0,nll,0.556933869714087,0.008617665867637075,20,0.003776858590733576
CRF,missingness,0.5,aurc,0.15866183201058198,0.007171241859730175,20,0.0031429353191639417
CRF,missingness,0.5,auroc,0.7957903423472757,0.008124537624894212,20,0.0035607356093435563
CRF,missingness,0.5,ece,0.025723352640743057,0.007000456539886209,20,0.003068085352556832
CRF,missingness,0.5,nll,0.5466687106801718,0.00895383081283776,20,0.003924189373881335
CRF,missingness,1.0,aurc,0.1608277447089947,0.006476294268320155,20,0.0028383611083462007
CRF,missingness,1.0,auroc,0.7942276673242795,0.0069830151420540235,20,0.0030604413229264565
CRF,missingness,1.0,ece,0.025385185372270642,0.006234411484171692,20,0.002732351304149398
CRF,missingness,1.0,nll,0.5487052189955663,0.0076779988653723884,20,0.0033650313692512273
CRF,missingness,1.5,aurc,0.16429698412698412,0.0064787364663563335,20,0.00283943144882759
CRF,missingness,1.5,auroc,0.7901615344578328,0.006336858619802575,20,0.002777250740986074
CRF,missingness,1.5,ece,0.026830716507260998,0.00626636187665876,20,0.0027463541810531394
CRF,missingness,1.5,nll,0.5533858196769025,0.007328643621911126,20,0.0032119196830068548
CRF,missingness,2.0,aurc,0.16531329365079367,0.009228641760211995,20,0.004044630581902157
CRF,missingness,2.0,auroc,0.7886919326061447,0.009934616317165475,20,0.004354037573449879
CRF,missingness,2.0,ece,0.026706086995732035,0.005624946939701974,20,0.0024652416904925923
CRF,missingness,2.0,nll,0.5547023585399723,0.010784391849503538,20,0.00472646812121098
CRF,sensor_noise,0.0,aurc,0.1623208597883598,0.005868563117288615,20,0.002572011187859061
CRF,sensor_noise,0.0,auroc,0.7924995345171936,0.0071574372815786875,20,0.0031368851960350444
CRF,sensor_noise,0.0,ece,0.026043225378667312,0.005712263612913868,20,0.0025035099097992946
CRF,sensor_noise,0.0,nll,0.5506367253592181,0.007378704268473283,20,0.003233859728714127
CRF,sensor_noise,0.5,aurc,0.16336296957671956,0.00771569315878563,20,0.00338155162172865
CRF,sensor_noise,0.5,auroc,0.7909825506755842,0.00896174753319699,20,0.0039276590295582265
CRF,sensor_noise,0.5,ece,0.027507728264605007,0.007186927117809373,20,0.0031498096866126456
CRF,sensor_noise,0.5,nll,0.5517321584052767,0.009216084782870183,20,0.004039127243936227
CRF,sensor_noise,1.0,aurc,0.16376826058201058,0.0066582995350068916,20,0.0029181284334668075
CRF,sensor_noise,1.0,auroc,0.7903240049123443,0.007385812530387218,20,0.0032369750618550476
