model,regime,metric,mean,sd,n,ci95
EF,noise_shift,aurc,0.18121145502645503,0.007793752069511363,20,0.003415762447732586
EF,noise_shift,auroc,0.7745335630533965,0.008286831814239072,20,0.003631864173930309
EF,noise_shift,brier,0.19407792360028606,0.0036175690671669033,20,0.0015854695481071967
EF,noise_shift,coverage_80_risk,0.254,0.010412192021378514,20,0.004563344354298327
EF,noise_shift,ece,0.03128275874409204,0.007482588649512673,20,0.0032793890661238223
EF,noise_shift,mean_uncertainty,0.2935774400830269,0.010058553019293424,20,0.004408355228059466
EF,noise_shift,nll,0.5715339686324665,0.008687448918024684,20,0.003807442361024997
EF,outlier_shift,auprc,0.7531413506377024,0.010438134069694793,20,0.00457471395826644
EF,outlier_shift,aurc,0.1910427513227513,0.006311345934557399,20,0.002766069313680707
EF,outlier_shift,auroc,0.7662652779292254,0.007885224223337314,20,0.0034558518867172025
EF,outlier_shift,brier,0.1979238270040538,0.0033134990493423042,20,0.001452204987071223
EF,outlier_shift,coverage_80_risk,0.258875,0.01111402556805971,20,0.004870936468075036
EF,outlier_shift,ece,0.03645485874048124,0.005659140395158243,20,0.002480227633086615
EF,outlier_shift,mean_uncertainty,0.2796037867665291,0.008972387874425433,20,0.0039323223647111825
EF,outlier_shift,nll,0.5847301504068171,0.0074776704189380185,20,0.003277233556536609
EF,silent_failure,auprc,0.7554580351478681,0.009635489547252837,20,0.0042229394863326185
EF,silent_failure,aurc,0.19032525793650795,0.00868662303730684,20,0.003807080402841422
EF,silent_failure,auroc,0.7635385315692569,0.009195958142470267,20,0.004030306354862017
EF,silent_failure,brier,0.19916208535486324,0.003963859201381553,20,0.0017372378909953272
EF,silent_failure,coverage_80_risk,0.26656250000000004,0.008947617009360578,20,0.00392146605443447
EF,silent_failure,ece,0.03892936906957378,0.007770313639345617,20,0.0034054901027978346
EF,silent_failure,mean_uncertainty,0.2748254477977753,0.008031327146994387,20,0.003519884316242903
EF,silent_failure,nll,0.5843708049788308,0.00961226296984586,20,0.004212759989963153
GF,ID_missing,auprc,0.7825044743520446,0.010025234934537205,20,0.0043937529335900454
GF,ID_missing,aurc,0.1679306216931217,0.005975048727350499,20,0.002618680564152947
GF,ID_missing,auroc,0.7866735705457539,0.0073395161932534436,20,0.0032166847974947357
GF,ID_missing,brier,0.18857954645923244,0.003249249673162803,20,0.001424046456431956
GF,ID_missing,coverage_80_risk,0.24329166666666668,0.008729508168591022,20,0.003825875640321407
GF,ID_missing,ece,0.02574001486115158,0.004640769989233153,20,0.0020339071241177943
GF,ID_missing,mean_uncertainty,0.2761666148900986,0.006544427765594524,20,0.002868221930110457
GF,ID_missing,nll,0.5572121256875391,0.007558235109468483,20,0.0033125425889606297
GF,noise_shift,auprc,0.7691932041065154,0.00933165954296843,20,0.004089780115868557
GF,noise_shift,aurc,0.17899261904761904,0.007538558533594091,20,0.0033039189493615936
GF,noise_shift,auroc,0.7753518281102443,0.007379713153254018,20,0.0032343018919645606
GF,noise_shift,brier,0.19380245749941202,0.0033099681441697217,20,0.001450657499649575
GF,noise_shift,coverage_80_risk,0.254875,0.006805167670053678,20,0.002982496231670681
GF,noise_shift,ece,0.03197619296666235,0.007416826234613588,20,0.003250567417028358
GF,noise_shift,mean_uncertainty,0.2757058382034302,0.00779844819227565,20,0.0034178206142799856
GF,noise_shift,nll,0.5706603881554037,0.008651251998140992,20,0.0037915783614315317
GF,outlier_shift,auprc,0.7453504751262874,0.016437369687212235,20,0.007203994894412598
GF,outlier_shift,aurc,0.19199218253968253,0.011658610841465454,20,0.005109611487487624
GF,outlier_shift,auroc,0.7665128074643364,0.011724510013304022,20,0.005138493072954452
GF,outlier_shift,brier,0.1986292172757657,0.005783749429008298,20,0.002534839950065277
GF,outlier_shift,coverage_80_risk,0.257,0.012287372874774449,20,0.005385178598525005
GF,outlier_shift,ece,0.040715942677110435,0.009903012110774123,20,0.0043401864192921455
GF,outlier_shift,mean_uncertainty,0.2672612458467484,0.0074386357803176515,20,0.0032601258718718824
GF,outlier_shift,nll,0.596128595541831,0.0185947353605707,20,0.008149502088811607
GF,silent_failure,auprc,0.7524179337433549,0.007668305684905486,20,0.0033607831456045627
GF,silent_failure,aurc,0.19328685846560847,0.00816444029078498,20,0.003578223723732939
GF,silent_failure,auroc,0.7610047406765428,0.009213942160791489,20,0.004038188198407088
GF,silent_failure,brier,0.20099689919853497,0.004551578757096878,20,0.001994817343139274
GF,silent_failure,coverage_80_risk,0.26797916666666666,0.011391070519187361,20,0.004992356771409765
GF,silent_failure,ece,0.046703534382830064,0.010825370311676132,20,0.00474442772410912
GF,silent_failure,mean_uncertainty,0.26665801703929903,0.00929720713680334,20,0.004074680683122537
GF,silent_failure,nll,0.5909431807812799,0.012365840284297484,20,0.005419568457020522
LWF,ID_missing,auprc,0.7880072712042713,0.010121096526468188,20,0.004435766128643894
LWF,ID_missing,aurc,0.16326564814814815,0.006274234677305908,20,0.0027498045880675233
LWF,ID_missing,auroc,0.7915760136410374,0.007942481824641082,20,0.0034809461369109886
LWF,ID_missing,brier,0.18635310998830168,0.0035640854746739055,20,0.0015620293302021297
LWF,ID_missing,coverage_80_risk,0.23937499999999998,0.009940888890326903,20,0.004356786649846507
LWF,ID_missing,ece,0.02486778511069715,0.004201115825929406,20,0.0018412201913531516
LWF,ID_missing,mean_uncertainty,0.27650304734706876,0.007758713696693726,20,0.0034004062037781076
LWF,ID_missing,nll,0.5515657410413634,0.008258125371297075,20,0.003619283020599446
LWF,noise_shift,auprc,0.7785308520477975,0.007775425722834057,20,0.003407730572170448
LWF,noise_shift,aurc,0.17061448412698413,0.005339555560050785,20,0.0023401634035744613
LWF,noise_shift,auroc,0.7843749597620671,0.005852019959349356,20,0.00256476082921898
LWF,noise_shift,brier,0.1896935813786585,0.00268344535129853,20,0.001176071779004226
LWF,noise_shift,coverage_80_risk,0.24541666666666667,0.007593231442718569,20,0.003327880408262274
LWF,noise_shift,ece,0.028586015562744194,0.006834227699083695,20,0.0029952323509371713
LWF,noise_shift,mean_uncertainty,0.2732342407107353,0.008181819945412873,20,0.0035858406932109334
LWF,noise_shift,nll,0.5604597122880861,0.006784681541182274,20,0.002973517789827234
LWF,outlier_shift,auprc,0.750875567778338,0.013208387895785729,20,0.005788831228799809
LWF,outlier_shift,aurc,0.18759305555555555,0.007349463719410538,20,0.0032210444930549985
LWF,outlier_shift,auroc,0.7719153759126754,0.008401224947313527,20,0.003681999174986186
LWF,outlier_shift,brier,0.19630182423039771,0.004028793411179949,20,0.0017656965632015186
LWF,outlier_shift,coverage_80_risk,0.2514166666666667,0.010113934282299173,20,0.004432627136736554
LWF,outlier_shift,ece,0.04071722198644032,0.007336356008861399,20,0.003215299785618815
LWF,outlier_shift,mean_uncertainty,0.2646492078900337,0.007825627033769017,20,0.003429732266757242
LWF,outlier_shift,nll,0.5960138974780858,0.014534200241322877,20,0.006369894108685593
LWF,silent_failure,auprc,0.7635680272929026,0.008793781967446243,20,0.0038540448746702417
LWF,silent_failure,aurc,0.1832475,0.008500229727503463,20,0.003725389933032202
LWF,silent_failure,auroc,0.7715293546763637,0.008560877848658725,20,0.0037519701440679202
LWF,silent_failure,brier,0.19602752692233216,0.0040042046273058,20,0.001754920053525096
