seed,teacher,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
103,confidence_selected,affected,macro_f1,0.49684725156323967,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,affected,macro_auroc,0.8108262277341906,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,affected,macro_auprc,0.5315259562152751,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,affected,nll,2.88100394195971,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,affected,brier,0.7928074429328045,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,affected,ece15,0.34403089751248006,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,unaffected,accuracy,0.5732169954476479,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,unaffected,macro_f1,0.556133876467329,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,unaffected,macro_auroc,0.8612985058219453,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,unaffected,macro_auprc,0.6214921879457119,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,unaffected,nll,1.84115696765041,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,unaffected,brier,0.6259604228034271,19740,14.141067999997176,0.0016756645260230611
103,confidence_selected,unaffected,ece15,0.2404257221223733,19740,14.141067999997176,0.0016756645260230611
104,best_ce,all,accuracy,0.5609532538955087,19740,20.226070600008825,0.001851856094518485
104,best_ce,all,macro_f1,0.5414215052761688,19740,20.226070600008825,0.001851856094518485
